Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
   1,      -8.4,      0.24,       1.6,     92.17,      0.16,      8.59
   2,     -15.0,      0.29,       5.9,     84.46,      0.69,      8.76
   3,     -16.2,      0.27,       2.4,     84.73,      0.69,      8.98
   4,      -6.1,      0.36,       3.6,     89.46,      0.81,      9.25
   5,      -6.1,      0.37,       0.4,     89.23,      0.57,      9.55
   6,     -11.0,      0.39,       8.2,     85.05,      1.18,      9.89
   7,     -13.7,      0.27,       1.9,     86.67,      0.96,     10.25
   8,      -3.8,      0.36,       6.5,     91.09,      1.27,     10.63
   9,      -7.6,      0.49,       1.3,     84.72,      0.96,     11.02
  10,       0.3,      0.98,       1.7,     82.87,      0.80,     11.41
  11,       6.6,      2.10,      11.2,     75.79,      1.63,     11.81
  12,      -0.9,      1.36,       0.3,     72.66,      1.09,     12.21
  13,       4.0,      2.38,      10.9,     66.13,      1.80,     12.61
  14,      -0.4,      1.82,       4.4,     62.23,      1.61,     13.00
  15,      -0.1,      1.95,       0.0,     64.33,      1.05,     13.39
  16,      13.8,      3.81,       8.7,     71.46,      1.55,     13.77
  17,       7.0,      2.54,      30.5,     70.21,      4.05,     14.14
  18,      11.1,      5.54,       0.0,     51.73,      2.64,     14.49
  19,      14.4,      5.94,      11.4,     58.39,      2.85,     14.82
  20,       8.9,      4.43,       0.6,     56.76,      1.91,     15.13
  21,      19.1,      7.99,      27.6,     55.31,      4.01,     15.39
  22,      16.9,      5.20,      26.7,     68.87,      5.27,     15.61
  23,      16.9,      5.60,      19.4,     65.16,      5.37,     15.78
  24,      21.0,      5.99,      18.1,     71.84,      5.30,     15.89
  25,      21.2,      7.29,      25.1,     64.76,      5.95,     15.93
  26,      20.3,      7.78,       0.7,     61.20,      3.93,     15.90
  27,      21.1,      9.58,      18.7,     55.65,      4.43,     15.82
  28,      21.0,      5.50,     124.9,     73.88,     15.37,     15.67
  29,      22.9,      7.46,      21.1,     68.58,     12.11,     15.46
  30,      23.2,      8.74,      18.2,     63.52,      9.69,     15.21
  31,      23.9,      8.81,      45.8,     64.09,     10.88,     14.92
  32,      22.1,      8.03,      28.5,     63.97,      9.92,     14.60
  33,      22.7,      9.09,       4.3,     59.62,      6.88,     14.26
  34,      20.0,      7.78,       5.2,     60.97,      4.99,     13.90
  35,      20.1,      7.85,      27.1,     60.48,      5.95,     13.53
  36,      20.0,      6.17,      54.0,     68.51,      9.27,     13.15
  37,      15.9,      5.43,       4.4,     63.94,      6.46,     12.76
  38,      17.0,      5.71,       5.9,     63.35,      4.79,     12.37
  39,      14.5,      3.63,       8.5,     72.31,      3.97,     11.98
  40,      14.8,      4.60,      13.2,     66.05,      3.90,     11.58
  41,       7.9,      2.94,       4.9,     65.74,      3.02,     11.19
  42,      10.4,      3.84,       4.0,     64.05,      2.37,     10.81
  43,       7.4,      2.54,      10.1,     71.47,      2.55,     10.43
  44,       8.9,      2.38,       1.2,     74.91,      1.78,     10.06
  45,      11.2,      4.27,       0.0,     61.27,      1.16,      9.72
  46,       6.0,      2.49,       1.3,     68.82,      0.88,      9.40
  47,      -1.9,      0.85,      16.5,     80.06,      2.22,      9.11
  48,       0.8,      0.67,      20.8,     87.72,      3.52,      8.86
  49,      -4.4,      0.47,       9.8,     87.90,      3.27,      8.67
  50,     -16.5,      0.32,       2.8,     82.45,      2.40,      8.54
  51,     -12.7,      0.42,       3.5,     82.96,      1.91,      8.48
  52,      -7.1,      0.39,      13.6,     88.17,      2.60,      8.49
