Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
   1,      -3.1,      0.55,       1.4,     87.56,      0.14,      8.59
   2,     -13.2,      0.39,       0.1,     82.88,      0.10,      8.76
   3,     -13.6,      0.29,       0.3,     86.37,      0.09,      8.98
   4,     -10.5,      0.29,       1.3,     88.60,      0.19,      9.25
   5,     -18.4,      0.32,       1.6,     78.99,      0.29,      9.55
   6,     -21.7,      0.26,       0.5,     80.42,      0.24,      9.89
   7,     -16.4,      0.31,       0.0,     83.33,      0.15,     10.25
   8,      -5.9,      0.37,      16.7,     89.54,      1.77,     10.63
   9,      -6.8,      0.39,      13.1,     88.28,      2.46,     11.02
  10,      -6.4,      0.55,       2.5,     85.45,      1.85,     11.41
  11,      -2.7,      0.75,       2.9,     84.14,      1.50,     11.81
  12,       1.9,      1.48,       8.0,     77.96,      1.77,     12.21
  13,       4.9,      1.24,      50.6,     84.92,      6.21,     12.61
  14,      -6.1,      1.09,       4.2,     67.91,      4.46,     13.00
  15,      -0.1,      1.72,       0.1,     68.75,      2.91,     13.39
  16,      11.0,      3.49,      33.9,     67.57,      5.28,     13.77
  17,      13.4,      6.16,       0.0,     51.59,      3.43,     14.14
  18,      12.4,      4.05,       9.7,     65.17,      3.20,     14.49
  19,      16.8,      6.85,       0.1,     57.59,      2.09,     14.82
  20,      14.2,      4.98,       3.3,     64.59,      1.69,     15.13
  21,      14.9,      4.15,      60.6,     71.63,      7.16,     15.39
  22,      18.9,      5.17,      47.8,     70.33,      9.43,     15.61
  23,      16.4,      5.31,      24.4,     66.19,      8.57,     15.78
  24,      22.0,      6.71,      45.9,     68.47,     10.16,     15.89
  25,      20.6,      7.17,      11.1,     63.46,      7.71,     15.93
  26,      19.5,      6.35,       1.0,     66.14,      5.11,     15.90
  27,      23.1,      8.75,       8.8,     63.34,      4.20,     15.82
  28,      17.8,      5.70,      49.5,     66.85,      7.68,     15.67
  29,      21.2,      8.29,       9.0,     60.17,      5.90,     15.46
  30,      25.8,     11.79,      20.9,     57.46,      5.92,     15.21
  31,      23.1,     11.06,       2.0,     54.74,      4.05,     14.92
  32,      23.9,     12.76,       3.6,     51.19,      2.99,     14.60
  33,      19.0,      8.98,       7.9,     53.29,      2.73,     14.26
  34,      19.4,      7.77,       3.8,     60.60,      2.15,     13.90
  35,      20.6,      8.12,      34.4,     61.38,      4.84,     13.53
  36,      19.6,      8.04,      23.1,     63.33,      5.45,     13.15
  37,      10.6,      4.78,       1.5,     57.75,      3.69,     12.76
  38,      17.4,      5.28,      35.6,     67.93,      5.96,     12.37
  39,      15.3,      4.48,      19.9,     67.74,      5.86,     11.98
  40,      15.2,      4.63,      16.5,     67.07,      5.46,     11.58
  41,       8.1,      2.03,      29.1,     76.46,      6.45,     11.19
  42,      10.0,      1.96,      47.6,     80.02,      8.96,     10.81
  43,       6.6,      3.26,       0.0,     59.42,      5.82,     10.43
  44,       6.8,      3.47,       1.6,     57.56,      3.94,     10.06
  45,       1.2,      1.34,       5.0,     76.70,      3.07,      9.72
  46,       2.1,      2.30,       1.4,     65.36,      2.13,      9.40
  47,      -2.2,      0.94,       1.9,     79.22,      1.58,      9.11
  48,     -11.1,      0.55,       0.9,     76.87,      1.11,      8.86
  49,     -14.8,      0.30,      18.6,     84.78,      2.58,      8.67
  50,     -12.8,      0.30,       0.5,     87.03,      1.72,      8.54
  51,      -8.2,      0.24,       0.4,     91.86,      1.16,      8.48
  52,      -8.5,      0.27,       6.0,     91.01,      1.36,      8.49
