Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
   1,       6.1,      2.43,       0.0,     66.65,      0.00,      9.69
   2,       7.9,      1.73,      17.0,     78.04,      1.70,      9.79
   3,       5.8,      1.87,      10.5,     72.69,      2.16,      9.94
   4,       9.4,      1.32,      11.2,     86.02,      2.53,     10.12
   5,       7.9,      2.25,       9.2,     72.67,      2.56,     10.33
   6,       6.7,      1.58,      10.7,     79.34,      2.73,     10.56
   7,       5.9,      1.84,       7.5,     73.80,      2.53,     10.81
   8,       9.4,      2.04,      21.2,     78.43,      3.77,     11.07
   9,       9.8,      1.87,      21.4,     79.67,      4.59,     11.34
  10,       8.5,      1.94,      21.8,     76.30,      5.17,     11.61
  11,      13.7,      2.81,       4.2,     79.06,      3.78,     11.89
  12,      16.0,      1.65,      13.0,     89.39,      3.76,     12.17
  13,      13.3,      2.45,       8.1,     78.14,      3.25,     12.45
  14,      12.8,      3.23,       9.5,     72.56,      3.06,     12.72
  15,      12.7,      4.49,       0.0,     61.71,      1.99,     13.00
  16,      15.9,      2.74,       4.9,     81.26,      1.78,     13.26
  17,      13.7,      3.06,      52.4,     74.56,      6.40,     13.51
  18,      18.7,      3.45,      21.7,     81.63,      6.33,     13.76
  19,      17.8,      3.86,      19.8,     75.96,      6.10,     13.98
  20,      18.8,      3.67,      30.5,     78.70,      7.01,     14.18
  21,      20.7,      3.01,       3.8,     84.10,      4.94,     14.36
  22,      23.1,      4.66,      72.0,     79.66,     10.41,     14.51
  23,      20.8,      6.85,       7.5,     65.61,      7.52,     14.62
  24,      22.8,      5.62,      14.6,     74.89,      6.35,     14.69
  25,      24.9,      7.46,      35.6,     72.04,      7.69,     14.71
  26,      26.0,      9.92,      37.5,     64.31,      8.75,     14.70
  27,      29.5,     13.02,      12.0,     63.15,      6.89,     14.64
  28,      27.1,      7.57,      27.7,     74.27,      7.24,     14.54
  29,      29.0,      9.22,      75.0,     71.49,     12.21,     14.41
  30,      28.6,      9.60,      36.3,     70.48,     11.57,     14.24
  31,      27.4,      6.82,      11.3,     76.00,      8.65,     14.05
  32,      28.1,      7.87,      39.1,     73.73,      9.54,     13.83
  33,      26.8,      7.27,      23.5,     73.61,      8.55,     13.60
  34,      24.5,      4.89,     122.4,     79.29,     17.79,     13.35
  35,      26.7,      6.46,      64.1,     77.35,     17.98,     13.09
  36,      27.1,      6.03,      27.4,     78.41,     14.43,     12.83
  37,      22.5,      6.35,      12.4,     69.06,     10.62,     12.56
  38,      22.4,      5.88,      15.3,     71.23,      8.44,     12.28
  39,      21.1,      5.72,       4.0,     70.43,      5.88,     12.01
  40,      22.2,      4.78,       4.3,     76.92,      4.25,     11.73
  41,      16.5,      3.52,      39.2,     75.47,      6.68,     11.46
  42,      18.5,      4.13,      17.5,     74.79,      6.09,     11.19
  43,      17.9,      3.82,       3.4,     75.84,      4.30,     10.93
  44,      11.4,      2.45,     166.7,     75.10,     19.47,     10.68
  45,       9.2,      2.62,       2.9,     71.25,     12.94,     10.44
  46,      11.1,      1.58,      10.6,     84.08,      9.48,     10.22
  47,      10.6,      1.69,       0.0,     82.57,      6.16,     10.03
  48,       7.5,      2.30,       2.8,     72.17,      4.29,      9.86
  49,      11.7,      1.69,       1.7,     84.80,      2.96,      9.74
  50,      10.8,      1.84,       2.6,     80.71,      2.18,      9.65
  51,      10.3,      1.84,      19.2,     79.39,      3.34,      9.61
  52,       7.5,      1.75,      45.4,     77.65,      6.71,      9.62
