Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
   1,      -9.3,      0.27,       0.4,     90.40,      0.04,      8.59
   2,      -8.4,      0.46,       7.7,     85.69,      0.79,      8.76
   3,     -15.9,      0.28,       3.6,     84.48,      0.87,      8.98
   4,     -17.0,      0.24,       1.0,     85.24,      0.66,      9.25
   5,     -15.4,      0.33,      18.7,     82.54,      2.30,      9.55
   6,      -8.2,      0.29,      40.2,     90.27,      5.51,      9.89
   7,      -7.7,      0.43,       2.5,     85.93,      3.83,     10.25
   8,     -11.0,      0.33,       0.0,     87.21,      2.49,     10.63
   9,      -5.5,      0.55,       1.5,     85.14,      1.77,     11.02
  10,      -4.9,      0.50,      24.0,     87.07,      3.56,     11.41
  11,      -7.6,      0.47,      26.2,     84.85,      4.93,     11.81
  12,      -7.7,      0.54,       0.0,     83.25,      3.21,     12.21
  13,      -1.5,      1.03,       1.4,     77.99,      2.22,     12.61
  14,      -2.3,      0.73,      15.3,     83.36,      2.98,     13.00
  15,      -2.7,      0.74,      16.9,     83.21,      3.62,     13.39
  16,      -0.6,      1.03,      14.7,     79.00,      3.83,     13.77
  17,       6.4,      3.93,       0.3,     61.93,      2.52,     14.14
  18,       5.8,      2.61,       6.2,     68.19,      2.26,     14.49
  19,      10.0,      4.54,       5.2,     56.78,      1.99,     14.82
  20,      17.3,      5.95,      57.2,     64.06,      7.01,     15.13
  21,      11.9,      3.13,      20.6,     73.27,      6.61,     15.39
  22,      15.8,      4.12,      21.7,     72.48,      6.47,     15.61
  23,      14.2,      3.42,      31.5,     75.71,      7.35,     15.78
  24,      19.0,      6.72,       2.1,     62.22,      4.99,     15.89
  25,      20.9,      6.17,      52.8,     70.01,      8.52,     15.93
  26,      22.1,      7.61,      19.8,     65.11,      7.52,     15.90
  27,      23.8,      9.68,       4.3,     59.26,      5.32,     15.82
  28,      23.0,      7.18,      31.5,     69.33,      6.60,     15.67
  29,      23.0,      9.09,       6.7,     61.92,      4.96,     15.46
  30,      17.3,      6.79,      12.6,     58.25,      4.49,     15.21
  31,      19.2,      9.03,       0.2,     52.46,      2.94,     14.92
  32,      18.5,      7.50,       3.0,     57.50,      2.21,     14.60
  33,      21.7,     11.98,       0.4,     46.24,      1.48,     14.26
  34,      27.0,     16.96,      12.9,     44.13,      2.26,     13.90
  35,      24.7,     11.92,      10.5,     57.74,      2.52,     13.53
  36,      22.2,     10.80,      15.6,     53.83,      3.19,     13.15
  37,      17.3,      6.88,      25.1,     58.63,      4.58,     12.76
  38,      16.1,      5.65,       6.2,     65.23,      3.60,     12.37
  39,      17.9,      7.03,      15.6,     59.45,      3.90,     11.98
  40,      12.0,      4.32,      32.0,     64.66,      5.74,     11.58
  41,      13.3,      5.19,      18.1,     59.85,      5.54,     11.19
  42,       4.3,      1.46,      32.7,     78.45,      6.87,     10.81
  43,       1.2,      1.36,       0.0,     75.46,      4.47,     10.43
  44,       3.5,      1.74,       2.6,     73.11,      3.16,     10.06
  45,      -0.8,      1.57,       1.0,     67.77,      2.16,      9.72
  46,      -0.3,      1.07,       2.8,     78.38,      1.68,      9.40
  47,      -5.9,      1.03,       0.1,     71.77,      1.10,      9.11
  48,      -7.0,      0.49,       7.6,     84.55,      1.48,      8.86
  49,     -13.1,      0.30,      25.6,     84.76,      3.52,      8.67
  50,     -18.1,      0.29,       3.5,     81.69,      2.64,      8.54
  51,     -14.2,      0.30,       2.6,     85.19,      1.97,      8.48
  52,     -15.1,      0.24,       3.3,     86.81,      1.61,      8.49
