Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
   1,       6.4,      1.32,      19.4,     80.61,      1.94,      9.69
   2,       5.6,      1.92,       4.7,     71.98,      1.73,      9.79
   3,      -0.2,      1.48,       3.3,     68.84,      1.46,      9.94
   4,       3.5,      1.39,      10.4,     77.38,      1.99,     10.12
   5,       4.2,      1.84,       2.6,     71.96,      1.56,     10.33
   6,       5.6,      2.00,       0.0,     73.01,      1.01,     10.56
   7,       5.9,      2.11,       3.8,     70.87,      1.04,     10.81
   8,       3.3,      2.16,       3.8,     64.33,      1.05,     11.07
   9,       3.7,      1.09,      56.7,     82.14,      6.35,     11.34
  10,       9.6,      1.85,       0.0,     82.20,      4.13,     11.61
  11,       7.0,      1.09,      52.1,     86.25,      7.89,     11.89
  12,       7.2,      2.28,       5.0,     71.06,      5.63,     12.17
  13,      11.5,      1.52,      41.3,     85.31,      7.79,     12.45
  14,      11.6,      2.44,      22.5,     76.11,      7.31,     12.72
  15,      11.9,      2.54,      18.5,     76.67,      6.60,     13.00
  16,      13.6,      3.35,      18.9,     74.31,      6.18,     13.26
  17,      17.8,      4.86,       0.0,     73.60,      4.02,     13.51
  18,      18.9,      2.52,      70.5,     85.80,      9.66,     13.76
  19,      18.5,      3.42,      11.0,     79.62,      7.38,     13.98
  20,      16.4,      2.34,      32.0,     82.47,      7.99,     14.18
  21,      19.5,      2.18,       3.5,     87.90,      5.54,     14.36
  22,      22.3,      4.88,      15.3,     78.86,      5.14,     14.51
  23,      21.7,      2.84,      69.0,     86.12,     10.24,     14.62
  24,      22.4,      3.15,      17.0,     85.16,      8.36,     14.69
  25,      24.2,      4.82,      23.2,     79.54,      7.76,     14.71
  26,      25.3,      7.91,       0.4,     69.40,      5.08,     14.70
  27,      24.1,      6.67,      10.2,     71.55,      4.32,     14.64
  28,      24.2,      6.90,      12.1,     70.57,      4.02,     14.54
  29,      25.2,      5.92,      20.2,     76.42,      4.63,     14.41
  30,      26.7,      6.77,      45.2,     75.83,      7.54,     14.24
  31,      27.1,      6.99,      18.4,     75.89,      6.74,     14.05
  32,      26.8,      7.80,      77.2,     73.00,     12.10,     13.83
  33,      26.1,      5.65,      29.5,     78.90,     10.82,     13.60
  34,      26.8,      5.92,      44.7,     78.54,     11.50,     13.35
  35,      25.3,      5.47,      18.7,     77.57,      9.35,     13.09
  36,      23.5,      4.54,     105.5,     79.57,     16.63,     12.83
  37,      21.8,      4.02,      15.8,     80.26,     12.38,     12.56
  38,      21.8,      2.72,       3.2,     86.13,      8.37,     12.28
  39,      21.2,      4.25,      26.8,     77.38,      8.12,     12.01
  40,      20.1,      5.17,       0.2,     71.36,      5.29,     11.73
  41,      18.8,      4.34,       2.7,     73.43,      3.71,     11.46
  42,      13.6,      2.32,      38.7,     81.11,      6.28,     11.19
  43,      17.4,      2.55,      18.5,     83.00,      5.93,     10.93
  44,      15.5,      2.11,       8.5,     84.08,      4.70,     10.68
  45,      13.6,      2.79,      50.5,     75.87,      8.11,     10.44
  46,      14.4,      1.46,     199.5,     88.50,     25.21,     10.22
  47,      13.5,      1.51,       9.6,     86.58,     17.35,     10.03
  48,      10.2,      2.00,      30.0,     78.70,     14.27,      9.86
  49,       9.9,      1.69,      85.2,     81.41,     17.80,      9.74
  50,       7.6,      1.70,      22.2,     76.41,     13.79,      9.65
  51,       3.2,      1.25,      30.4,     79.46,     12.01,      9.61
  52,       5.3,      1.35,      24.4,     79.24,     10.24,      9.62
