Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
   1,       4.0,      1.22,      16.0,     79.26,      1.60,      9.69
   2,       6.3,      1.31,      35.0,     79.97,      4.54,      9.79
   3,       5.8,      1.75,       0.6,     75.68,      3.01,      9.94
   4,      -1.1,      1.52,       3.3,     68.88,      2.29,     10.12
   5,       2.7,      1.00,      17.6,     83.87,      3.25,     10.33
   6,       3.2,      1.33,       7.0,     77.19,      2.81,     10.56
   7,       3.2,      1.40,      29.3,     77.32,      4.76,     10.81
   8,       8.5,      2.00,       9.2,     77.80,      4.01,     11.07
   9,       2.7,      1.46,       5.8,     76.78,      3.18,     11.34
  10,       6.5,      1.80,      13.5,     80.66,      3.42,     11.61
  11,       6.2,      1.80,      22.3,     76.27,      4.45,     11.89
  12,       7.8,      2.28,      15.5,     74.69,      4.44,     12.17
  13,       8.4,      1.74,      27.6,     78.73,      5.65,     12.45
  14,      11.9,      1.96,      28.7,     83.05,      6.55,     12.72
  15,      14.8,      2.96,      31.0,     78.26,      7.36,     13.00
  16,      10.4,      2.09,      24.8,     80.07,      7.26,     13.26
  17,      14.5,      3.23,      32.7,     74.45,      7.98,     13.51
  18,      17.0,      3.61,      10.8,     75.79,      6.27,     13.76
  19,      21.0,      5.01,       3.3,     76.46,      4.40,     13.98
  20,      18.5,      4.05,      56.3,     74.57,      8.49,     14.18
  21,      21.5,      6.08,       8.8,     70.82,      6.40,     14.36
  22,      20.2,      5.03,      16.2,     74.50,      5.78,     14.51
  23,      23.4,      5.95,       7.3,     74.12,      4.49,     14.62
  24,      24.2,      5.40,      38.0,     77.93,      6.71,     14.69
  25,      25.5,      7.20,      23.6,     73.72,      6.72,     14.71
  26,      25.3,      6.29,       0.0,     75.09,      4.37,     14.70
  27,      26.6,      8.89,      24.5,     68.06,      5.30,     14.64
  28,      26.8,      6.83,      51.6,     75.99,      8.60,     14.54
  29,      24.8,      5.87,       3.0,     75.38,      5.89,     14.41
  30,      26.1,      6.95,      60.9,     73.79,      9.92,     14.24
  31,      24.8,      5.66,      46.0,     76.59,     11.05,     14.05
  32,      25.1,      5.92,      10.7,     76.19,      8.25,     13.83
  33,      25.2,      7.62,      34.1,     69.84,      8.77,     13.60
  34,      25.0,      5.34,       0.7,     78.41,      5.77,     13.35
  35,      26.5,      8.13,       0.0,     72.43,      3.75,     13.09
  36,      25.9,      4.91,     147.2,     81.16,     17.16,     12.83
  37,      23.7,      4.67,       6.3,     78.97,     11.78,     12.56
  38,      22.0,      4.90,       2.7,     75.28,      7.93,     12.28
  39,      21.0,      3.76,      49.4,     80.37,     10.10,     12.01
  40,      19.6,      4.43,       6.2,     73.93,      7.18,     11.73
  41,      20.8,      4.17,       7.1,     78.69,      5.38,     11.46
  42,      18.4,      4.59,      13.4,     71.19,      4.83,     11.19
  43,      16.6,      4.78,       4.3,     68.78,      3.57,     10.93
  44,      14.3,      4.05,       8.3,     68.30,      3.15,     10.68
  45,      14.0,      3.72,      18.9,     70.36,      3.93,     10.44
  46,      10.1,      2.20,      18.1,     74.76,      4.37,     10.22
  47,       8.2,      2.23,      16.0,     70.75,      4.44,     10.03
  48,       8.7,      1.82,      49.0,     78.66,      7.78,      9.86
  49,       8.9,      1.25,       8.9,     85.62,      5.94,      9.74
  50,       7.1,      2.05,       7.7,     74.24,      4.63,      9.65
  51,       6.5,      1.58,      18.0,     78.30,      4.81,      9.61
  52,       9.3,      1.27,      56.8,     85.33,      8.81,      9.62
