Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
   1,       6.8,      1.92,       2.3,     73.19,      0.23,      9.69
   2,       1.9,      1.34,      32.6,     73.85,      3.40,      9.79
   3,       5.6,      1.17,      22.3,     83.81,      4.45,      9.94
   4,       4.6,      1.10,      23.2,     83.48,      5.21,     10.12
   5,       3.2,      1.82,       6.4,     69.55,      4.03,     10.33
   6,       3.9,      1.41,       6.8,     77.93,      3.30,     10.56
   7,      -1.7,      1.23,      19.2,     72.69,      4.06,     10.81
   8,      -1.5,      1.01,       5.7,     76.63,      3.21,     11.07
   9,       2.2,      0.97,      20.6,     83.57,      4.15,     11.34
  10,       6.9,      1.50,      18.0,     81.70,      4.50,     11.61
  11,      10.5,      2.00,      19.7,     78.94,      4.90,     11.89
  12,       8.0,      1.68,      11.0,     79.52,      4.28,     12.17
  13,       8.7,      1.94,      12.8,     76.14,      4.06,     12.45
  14,      13.5,      2.49,       0.2,     79.89,      2.66,     12.72
  15,      14.0,      1.98,      38.8,     84.46,      5.61,     13.00
  16,      16.3,      2.54,      36.8,     82.47,      7.33,     13.26
  17,      12.3,      3.25,      12.2,     71.26,      5.99,     13.51
  18,      16.5,      3.44,      18.5,     79.05,      5.74,     13.76
  19,      18.7,      2.02,      12.4,     88.10,      4.97,     13.98
  20,      20.3,      3.88,       8.5,     79.25,      4.08,     14.18
  21,      19.0,      3.39,      18.2,     80.35,      4.47,     14.36
  22,      22.0,      2.77,      56.4,     86.86,      8.55,     14.51
  23,      22.1,      3.63,      62.5,     83.24,     11.80,     14.62
  24,      26.7,      7.04,       2.2,     75.27,      7.89,     14.69
  25,      27.1,      6.80,      36.2,     76.52,      8.75,     14.71
  26,      25.3,      5.43,      61.7,     77.93,     11.86,     14.70
  27,      25.9,      4.69,      49.0,     82.03,     12.61,     14.64
  28,      26.3,      5.37,      22.9,     79.68,     10.48,     14.54
  29,      27.1,      6.42,      23.2,     77.76,      9.13,     14.41
  30,      26.2,      5.91,       0.3,     77.47,      5.96,     14.24
  31,      27.5,      6.85,      18.4,     76.42,      5.72,     14.05
  32,      25.6,      5.65,      25.3,     77.46,      6.25,     13.83
  33,      25.7,      6.08,       0.9,     76.56,      4.16,     13.60
  34,      26.2,      6.45,       9.5,     75.20,      3.65,     13.35
  35,      25.5,      6.61,      10.6,     73.74,      3.43,     13.09
  36,      26.2,      5.44,       9.0,     79.59,      3.13,     12.83
  37,      23.7,      6.59,      19.5,     70.36,      3.99,     12.56
  38,      23.8,      4.35,       1.5,     80.84,      2.75,     12.28
  39,      23.8,      3.59,      45.1,     83.85,      6.30,     12.01
  40,      20.2,      2.47,     141.8,     85.94,     18.27,     11.73
  41,      19.5,      3.33,       0.9,     81.01,     11.97,     11.46
  42,      14.3,      4.04,       0.6,     68.23,      7.84,     11.19
  43,      17.0,      2.69,       5.5,     81.77,      5.65,     10.93
  44,      16.6,      2.68,      20.1,     80.94,      5.69,     10.68
  45,      17.4,      2.02,      60.2,     85.55,      9.72,     10.44
  46,      14.0,      3.25,       0.1,     72.98,      6.33,     10.22
  47,      11.8,      2.38,      15.4,     75.58,      5.65,     10.03
  48,      14.2,      1.29,      12.7,     89.75,      4.95,      9.86
  49,      10.3,      1.82,       5.8,     80.97,      3.80,      9.74
  50,      14.9,      1.93,       1.8,     85.26,      2.65,      9.65
  51,      11.9,      1.41,      46.7,     84.12,      6.39,      9.61
  52,      17.0,      1.26,      16.5,     91.84,      5.81,      9.62
