Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
   1,     -16.1,      0.26,      10.5,     85.98,      1.05,      8.59
   2,     -19.6,      0.23,       0.9,     84.35,      0.77,      8.76
   3,     -15.0,      0.22,       2.7,     88.05,      0.77,      8.98
   4,     -20.0,      0.22,       2.2,     84.00,      0.72,      9.25
   5,     -11.4,      0.63,       0.0,     77.75,      0.47,      9.55
   6,      -4.5,      0.31,      15.1,     92.20,      1.81,      9.89
   7,      -8.6,      0.39,       4.2,     86.56,      1.59,     10.25
   8,     -10.8,      0.37,       3.0,     85.41,      1.33,     10.63
   9,     -13.8,      0.34,       5.6,     83.91,      1.43,     11.02
  10,      -7.4,      0.38,      21.0,     87.36,      3.03,     11.41
  11,      -4.0,      0.88,       0.3,     81.07,      1.99,     11.81
  12,       0.6,      0.83,      72.4,     84.50,      8.53,     12.21
  13,      -4.3,      0.63,      18.7,     83.74,      7.42,     12.61
  14,      -1.7,      0.84,       0.0,     82.36,      4.82,     13.00
  15,       4.6,      3.36,       0.0,     57.94,      3.13,     13.39
  16,       8.4,      3.70,       0.9,     61.23,      2.13,     13.77
  17,       7.6,      3.53,      17.7,     61.76,      3.15,     14.14
  18,      10.3,      4.16,       4.5,     60.91,      2.50,     14.49
  19,      10.1,      3.61,      18.8,     65.88,      3.51,     14.82
  20,      10.7,      3.95,       6.5,     65.77,      2.93,     15.13
  21,      13.0,      4.29,      18.5,     64.30,      3.75,     15.39
  22,      12.6,      4.59,       4.7,     62.48,      2.91,     15.61
  23,      10.7,      3.03,      21.4,     73.30,      4.03,     15.78
  24,      17.6,      5.66,      16.6,     65.07,      4.28,     15.89
  25,      21.6,      6.32,      29.8,     70.67,      5.76,     15.93
  26,      18.2,      5.53,      21.1,     69.01,      5.85,     15.90
  27,      18.4,      6.47,       0.0,     62.96,      3.80,     15.82
  28,      17.8,      6.66,      18.7,     59.33,      4.34,     15.67
  29,      16.7,      5.80,      24.3,     64.62,      5.25,     15.46
  30,      19.8,      8.91,      18.4,     53.46,      5.25,     15.21
  31,      17.3,      7.31,      14.7,     57.28,      4.89,     14.92
  32,      22.1,     10.54,      11.1,     55.14,      4.29,     14.60
  33,      22.3,     11.10,      33.0,     54.22,      6.09,     14.26
  34,      19.4,      7.07,      11.1,     65.11,      5.07,     13.90
  35,      17.0,      7.62,       0.6,     54.84,      3.35,     13.53
  36,      20.8,      8.40,      25.1,     59.85,      4.69,     13.15
  37,      21.8,      9.07,       5.1,     58.23,      3.56,     12.76
  38,      20.3,      8.63,      16.9,     57.20,      4.00,     12.37
  39,      14.0,      5.54,       3.7,     62.62,      2.97,     11.98
  40,       7.1,      1.56,      30.5,     80.71,      4.98,     11.58
  41,       1.0,      1.88,       2.5,     66.38,      3.49,     11.19
  42,       5.3,      1.43,      26.7,     81.30,      4.93,     10.81
  43,       4.1,      1.51,      12.1,     78.54,      4.42,     10.43
  44,       3.4,      1.28,      48.9,     78.41,      7.76,     10.06
  45,       6.1,      2.73,       3.9,     65.42,      5.44,      9.72
  46,       4.0,      1.59,      15.8,     75.25,      5.11,      9.40
  47,       3.4,      1.24,       9.7,     80.85,      4.29,      9.11
  48,      -1.2,      1.04,       0.7,     78.03,      2.86,      8.86
  49,      -9.8,      0.90,       1.3,     66.89,      1.98,      8.67
  50,     -16.8,      0.51,       1.4,     70.99,      1.43,      8.54
  51,      -8.9,      0.30,       0.5,     89.68,      0.97,      8.48
  52,      -8.8,      0.28,      20.1,     90.13,      2.64,      8.49
