Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
   1,     -19.7,      0.24,       0.4,     83.92,      0.04,      8.59
   2,     -12.2,      0.24,       0.1,     89.39,      0.03,      8.76
   3,      -6.7,      0.24,       0.3,     93.38,      0.05,      8.98
   4,      -9.9,      0.29,      22.3,     87.62,      2.26,      9.25
   5,     -15.8,      0.26,       0.9,     86.39,      1.56,      9.55
   6,      -8.8,      0.29,      11.5,     89.97,      2.17,      9.89
   7,      -9.7,      0.42,       2.0,     84.91,      1.61,     10.25
   8,     -10.5,      0.37,       1.7,     86.26,      1.21,     10.63
   9,      -7.1,      0.52,       0.0,     84.15,      0.79,     11.02
  10,      -0.0,      0.53,      15.7,     89.58,      2.09,     11.41
  11,       2.7,      0.96,       5.9,     84.89,      1.95,     11.81
  12,      -0.9,      1.57,       0.0,     69.27,      1.27,     12.21
  13,       5.8,      3.25,       1.8,     61.23,      1.00,     12.61
  14,       6.9,      3.80,       2.3,     54.43,      0.89,     13.00
  15,      10.6,      5.32,       8.0,     47.02,      1.38,     13.39
  16,      11.1,      6.60,       0.0,     40.99,      0.89,     13.77
  17,      11.3,      4.97,      24.5,     55.28,      3.03,     14.14
  18,       7.7,      1.83,      25.4,     78.60,      4.51,     14.49
  19,       7.0,      2.33,      35.0,     71.39,      6.43,     14.82
  20,      16.6,      8.01,       2.0,     49.77,      4.38,     15.13
  21,      19.5,      7.11,      23.5,     61.17,      5.20,     15.39
  22,      17.7,      7.12,       1.1,     57.84,      3.49,     15.61
  23,      15.5,      4.07,      25.1,     72.31,      4.78,     15.78
  24,      17.0,      3.28,      37.3,     80.54,      6.84,     15.89
  25,      20.0,      5.95,       6.9,     68.12,      5.14,     15.93
  26,      19.7,      6.16,      28.7,     67.28,      6.20,     15.90
  27,      22.7,      6.95,      65.8,     69.09,     10.61,     15.82
  28,      21.1,      7.40,      21.8,     63.61,      9.08,     15.67
  29,      21.5,      7.75,      20.5,     63.47,      7.96,     15.46
  30,      21.3,      7.00,      37.2,     66.92,      8.90,     15.21
  31,      23.4,      8.43,      11.8,     63.83,      6.96,     14.92
  32,      24.8,     10.16,      38.8,     61.42,      8.41,     14.60
  33,      18.9,      6.29,      23.7,     65.00,      7.84,     14.26
  34,      22.1,      8.67,      31.0,     60.86,      8.19,     13.90
  35,      22.6,     10.25,      35.9,     57.83,      8.91,     13.53
  36,      12.2,      3.99,      43.0,     67.11,     10.10,     13.15
  37,      12.6,      3.34,      32.0,     72.99,      9.76,     12.76
  38,      11.0,      3.18,       7.8,     68.88,      7.12,     12.37
  39,      12.8,      3.37,      42.8,     73.57,      8.91,     11.98
  40,      11.5,      4.61,       2.3,     59.85,      6.02,     11.58
  41,      16.1,      6.21,       0.3,     57.29,      3.95,     11.19
  42,       7.4,      3.61,       0.0,     57.42,      2.56,     10.81
  43,       7.2,      1.90,      57.2,     77.46,      7.39,     10.43
  44,       3.3,      1.66,       0.1,     75.69,      4.81,     10.06
  45,       6.0,      2.13,       7.3,     72.48,      3.86,      9.72
  46,      -0.5,      1.27,       0.4,     75.66,      2.55,      9.40
  47,      -8.3,      0.43,       9.3,     85.52,      2.59,      9.11
  48,      -7.8,      0.33,       7.3,     89.17,      2.42,      8.86
  49,     -11.5,      0.27,       6.3,     88.98,      2.21,      8.67
  50,     -16.0,      0.31,       0.1,     83.56,      1.44,      8.54
  51,     -10.2,      0.29,       9.2,     89.17,      1.86,      8.48
  52,      -7.6,      0.34,      14.2,     89.16,      2.63,      8.49
