Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
   1,      12.9,      1.58,      19.5,     85.25,      1.95,      9.69
   2,       9.6,      1.84,      12.5,     78.07,      2.52,      9.79
   3,       6.9,      1.65,       8.7,     76.87,      2.51,      9.94
   4,       4.7,      1.69,      10.6,     74.60,      2.69,     10.12
   5,       3.2,      1.88,       7.3,     68.23,      2.48,     10.33
   6,      -0.8,      1.86,       0.0,     60.92,      1.61,     10.56
   7,       3.0,      1.57,      11.8,     72.93,      2.22,     10.81
   8,       5.1,      1.67,       8.1,     74.87,      2.26,     11.07
   9,       8.7,      1.93,      19.2,     78.10,      3.39,     11.34
  10,       5.9,      1.86,       0.0,     73.72,      2.20,     11.61
  11,       9.2,      1.86,      36.8,     80.13,      5.11,     11.89
  12,      11.4,      1.92,       0.0,     81.62,      3.32,     12.17
  13,      12.9,      2.84,       1.4,     77.65,      2.31,     12.45
  14,      10.6,      2.79,       8.8,     72.16,      2.37,     12.72
  15,      10.6,      2.48,      56.2,     73.00,      7.16,     13.00
  16,      10.8,      2.75,      21.4,     74.70,      6.80,     13.26
  17,      17.7,      3.86,      27.7,     77.67,      7.19,     13.51
  18,      15.5,      2.88,      31.5,     80.43,      7.82,     13.76
  19,      16.3,      1.74,       5.6,     88.13,      5.64,     13.98
  20,      16.1,      2.92,      21.0,     79.87,      5.77,     14.18
  21,      18.4,      3.63,       0.1,     79.86,      3.75,     14.36
  22,      21.1,      3.79,      25.8,     81.52,      5.02,     14.51
  23,      23.0,      4.84,      18.7,     78.60,      5.14,     14.62
  24,      20.6,      4.26,       0.8,     77.77,      3.42,     14.69
  25,      23.6,      6.87,       1.6,     70.81,      2.38,     14.71
  26,      25.5,      5.65,      29.4,     78.36,      4.49,     14.70
  27,      24.7,      7.80,       1.5,     68.42,      3.07,     14.64
  28,      26.7,      8.09,       5.5,     71.12,      2.55,     14.54
  29,      26.4,      7.32,       9.4,     72.39,      2.60,     14.41
  30,      25.8,      6.76,      24.7,     73.85,      4.16,     14.24
  31,      26.5,      6.37,      42.3,     77.07,      6.93,     14.05
  32,      28.5,      8.23,      36.5,     74.42,      8.15,     13.83
  33,      26.9,      9.02,      14.5,     68.37,      6.75,     13.60
  34,      26.4,      4.77,      43.4,     82.59,      8.73,     13.35
  35,      24.9,      5.26,       3.8,     78.13,      6.05,     13.09
  36,      25.0,      5.73,       0.2,     77.24,      3.96,     12.83
  37,      24.8,      7.14,       9.9,     70.98,      3.56,     12.56
  38,      22.7,      4.08,       1.7,     80.58,      2.48,     12.28
  39,      22.9,      5.52,       0.7,     74.37,      1.68,     12.01
  40,      23.2,      3.67,       1.5,     83.97,      1.25,     11.73
  41,      21.4,      6.27,       1.9,     67.68,      0.99,     11.46
  42,      21.7,      5.26,       9.5,     73.39,      1.59,     11.19
  43,      21.4,      3.22,      93.7,     83.37,     10.40,     10.93
  44,      15.4,      3.70,       0.1,     71.86,      6.77,     10.68
  45,      10.7,      3.24,       0.5,     67.57,      4.45,     10.44
  46,      12.2,      2.96,       5.5,     71.97,      3.44,     10.22
  47,      12.3,      2.72,       9.4,     74.87,      3.17,     10.03
  48,      11.1,      2.59,       3.1,     73.31,      2.37,      9.86
  49,       7.8,      1.98,       0.6,     75.03,      1.60,      9.74
  50,      13.6,      1.83,       0.0,     84.96,      1.04,      9.65
  51,       7.4,      1.82,      30.1,     75.45,      3.69,      9.61
  52,       9.7,      1.45,      29.2,     84.17,      5.32,      9.62
