Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
   1,     -18.2,      0.28,       3.5,     81.70,      0.35,      8.59
   2,     -19.9,      0.25,       3.1,     82.47,      0.54,      8.76
   3,      -5.8,      0.32,       5.5,     90.90,      0.89,      8.98
   4,      -3.6,      0.52,       0.3,     87.80,      0.61,      9.25
   5,     -15.2,      0.36,       0.5,     82.54,      0.44,      9.55
   6,      -9.0,      0.46,       6.0,     84.21,      0.89,      9.89
   7,     -16.7,      0.39,       1.2,     77.97,      0.70,     10.25
   8,     -16.3,      0.39,       1.9,     78.63,      0.64,     10.63
   9,     -14.0,      0.48,       1.9,     77.98,      0.61,     11.02
  10,      -4.2,      1.03,       0.0,     79.04,      0.40,     11.41
  11,       5.8,      3.56,       2.0,     56.18,      0.46,     11.81
  12,       0.0,      2.13,       5.6,     58.35,      0.86,     12.21
  13,       3.3,      3.10,      10.2,     55.85,      1.58,     12.61
  14,       2.5,      3.25,       0.3,     48.45,      1.06,     13.00
  15,      11.4,      6.93,       0.6,     39.98,      0.75,     13.39
  16,       8.1,      4.62,      13.5,     54.71,      1.84,     13.77
  17,       8.7,      5.21,       3.4,     46.58,      1.53,     14.14
  18,      16.4,      8.91,       5.1,     41.80,      1.50,     14.49
  19,       8.3,      2.30,      70.2,     75.14,      7.99,     14.82
  20,      11.3,      3.32,      62.4,     71.69,     11.44,     15.13
  21,      16.7,      7.10,      24.9,     55.54,      9.93,     15.39
  22,      14.4,      4.68,      35.3,     66.54,      9.99,     15.61
  23,      19.8,      6.67,      34.1,     66.48,      9.90,     15.78
  24,      17.4,      5.68,      13.9,     66.68,      7.83,     15.89
  25,      19.6,      7.30,      23.8,     61.46,      7.47,     15.93
  26,      22.2,      9.42,      12.3,     56.12,      6.09,     15.90
  27,      20.7,      8.63,       7.7,     58.93,      4.72,     15.82
  28,      24.7,     10.82,       9.6,     59.28,      4.03,     15.67
  29,      22.8,      9.65,      35.9,     58.24,      6.22,     15.46
  30,      24.7,     10.77,      37.5,     58.50,      7.79,     15.21
  31,      20.6,     10.58,       0.8,     49.01,      5.15,     14.92
  32,      23.2,     11.32,      10.7,     53.48,      4.41,     14.60
  33,      23.2,     12.16,      37.0,     53.64,      6.57,     14.26
  34,      17.4,      6.92,       6.3,     61.65,      4.89,     13.90
  35,      24.9,     13.31,       0.0,     52.94,      3.18,     13.53
  36,      22.6,      8.98,      73.3,     61.26,      9.40,     13.15
  37,      17.9,      7.15,       0.2,     59.85,      6.13,     12.76
  38,      17.0,      6.95,       8.7,     57.88,      4.85,     12.37
  39,      16.5,      6.20,       0.0,     59.35,      3.15,     11.98
  40,      10.0,      3.86,       1.2,     63.10,      2.17,     11.58
  41,      12.5,      5.56,      10.6,     61.05,      2.47,     11.19
  42,       8.6,      4.05,       0.0,     55.64,      1.60,     10.81
  43,       7.8,      2.65,      35.1,     69.89,      4.55,     10.43
  44,       7.8,      2.02,      11.3,     77.91,      4.09,     10.06
  45,       6.6,      2.17,      14.1,     72.48,      4.07,      9.72
  46,       5.4,      1.66,      33.2,     76.82,      5.97,      9.40
  47,      -2.8,      1.00,       3.0,     75.89,      4.18,      9.11
  48,      -3.9,      1.02,       8.5,     73.91,      3.57,      8.86
  49,      -0.2,      0.89,       0.0,     82.96,      2.32,      8.67
  50,      -0.4,      0.51,      10.7,     89.63,      2.58,      8.54
  51,      -7.8,      0.34,       1.7,     88.48,      1.85,      8.48
  52,     -10.3,      0.27,       1.9,     89.79,      1.39,      8.49
