Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
   1,     -16.2,      0.26,       3.7,     85.74,      0.37,      8.59
   2,     -12.0,      0.27,      21.2,     88.62,      2.36,      8.76
   3,     -17.1,      0.29,       4.2,     82.84,      1.95,      8.98
   4,     -13.3,      0.23,       4.2,     89.05,      1.69,      9.25
   5,     -14.3,      0.29,       4.2,     85.09,      1.52,      9.55
   6,     -15.3,      0.25,       1.2,     86.07,      1.11,      9.89
   7,      -2.6,      0.63,       1.1,     86.10,      0.83,     10.25
   8,     -12.2,      0.37,       3.6,     84.30,      0.91,     10.63
   9,     -13.2,      0.37,       0.0,     83.61,      0.59,     11.02
  10,      -8.9,      0.43,       2.1,     85.90,      0.59,     11.41
  11,      -2.7,      0.66,       2.6,     85.65,      0.65,     11.81
  12,      -2.7,      0.70,      19.0,     83.77,      2.32,     12.21
  13,      -3.0,      1.24,       4.5,     69.79,      1.96,     12.61
  14,       3.1,      1.88,       4.3,     72.98,      1.70,     13.00
  15,       6.3,      2.92,      32.5,     64.83,      4.35,     13.39
  16,       1.4,      1.62,      15.4,     72.48,      4.37,     13.77
  17,       8.7,      4.19,       8.6,     57.09,      3.71,     14.14
  18,       7.4,      3.67,      16.7,     59.80,      4.07,     14.49
  19,      12.6,      3.22,      12.7,     74.19,      3.91,     14.82
  20,      12.7,      5.33,       7.2,     56.38,      3.27,     15.13
  21,      12.6,      2.94,      49.2,     74.03,      7.05,     15.39
  22,      15.3,      3.82,      40.2,     72.98,      8.60,     15.61
  23,      16.7,      5.48,       2.2,     67.20,      5.81,     15.78
  24,      16.4,      4.20,      20.8,     72.72,      5.86,     15.89
  25,      17.3,      3.56,      36.6,     79.70,      7.46,     15.93
  26,      21.4,      5.76,      42.4,     72.85,      9.09,     15.90
  27,      22.7,      8.23,       6.6,     62.36,      6.57,     15.82
  28,      21.1,      6.53,      19.7,     69.23,      6.24,     15.67
  29,      27.7,     10.71,       9.0,     64.87,      4.96,     15.46
  30,      22.1,      8.45,      26.2,     62.73,      5.85,     15.21
  31,      24.1,     10.52,      46.9,     56.21,      8.49,     14.92
  32,      20.7,      7.98,      19.5,     60.30,      7.47,     14.60
  33,      22.2,      9.17,      12.9,     58.29,      6.15,     14.26
  34,      21.5,     10.73,       4.5,     51.55,      4.45,     13.90
  35,      21.1,      8.47,      14.7,     59.40,      4.36,     13.53
  36,      18.4,      8.76,       0.7,     52.77,      2.91,     13.15
  37,      14.8,      8.27,       1.0,     47.91,      1.99,     12.76
  38,      12.1,      4.15,      17.9,     65.79,      3.08,     12.37
  39,      14.6,      6.34,       2.8,     57.07,      2.28,     11.98
  40,      17.9,     10.66,       0.2,     37.92,      1.50,     11.58
  41,      14.7,      5.35,      10.1,     61.79,      1.99,     11.19
  42,       5.7,      3.06,       0.0,     59.47,      1.29,     10.81
  43,       6.5,      2.99,       4.7,     62.32,      1.31,     10.43
  44,       4.6,      3.42,       0.2,     51.42,      0.87,     10.06
  45,       2.7,      2.51,       2.2,     59.31,      0.78,      9.72
  46,       0.1,      2.16,       4.4,     61.83,      0.95,      9.40
  47,      -2.9,      0.87,       0.4,     82.85,      0.65,      9.11
  48,      -3.9,      0.84,       1.2,     79.10,      0.54,      8.86
  49,      -9.6,      0.48,       0.1,     82.86,      0.36,      8.67
  50,      -7.3,      0.31,       1.1,     90.40,      0.35,      8.54
  51,      -6.5,      0.46,       0.5,     86.79,      0.28,      8.48
  52,      -5.5,      0.58,       7.0,     85.29,      0.89,      8.49
