Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
   1,       4.3,      1.50,      10.1,     76.11,      1.01,      9.69
   2,       0.4,      1.51,       3.6,     70.28,      1.02,      9.79
   3,       4.2,      1.19,      31.1,     81.20,      3.77,      9.94
   4,       2.0,      1.43,      20.2,     72.94,      4.47,     10.12
   5,       4.8,      1.42,       2.5,     78.57,      3.15,     10.33
   6,       4.0,      1.55,      19.7,     75.13,      4.01,     10.56
   7,       6.3,      2.00,       0.2,     74.12,      2.63,     10.81
   8,       6.7,      1.96,       5.7,     75.43,      2.28,     11.07
   9,       7.3,      1.88,      12.2,     77.01,      2.70,     11.34
  10,       8.8,      1.18,      34.5,     85.99,      5.20,     11.61
  11,      10.0,      2.42,       3.2,     76.74,      3.70,     11.89
  12,      10.6,      1.91,      11.8,     80.47,      3.58,     12.17
  13,       6.5,      1.74,      17.6,     76.74,      4.09,     12.45
  14,      10.9,      2.66,       6.0,     74.82,      3.26,     12.72
  15,      13.4,      2.02,       5.0,     83.92,      2.62,     13.00
  16,      14.7,      2.95,      18.7,     78.36,      3.57,     13.26
  17,      18.5,      2.79,      12.2,     84.38,      3.54,     13.51
  18,      15.7,      3.50,      16.1,     74.78,      3.91,     13.76
  19,      16.0,      3.39,       3.5,     76.16,      2.90,     13.98
  20,      19.0,      2.63,      19.1,     84.67,      3.79,     14.18
  21,      22.5,      4.86,      15.1,     78.27,      3.97,     14.36
  22,      24.2,      5.69,       0.5,     76.58,      2.63,     14.51
  23,      25.1,      7.85,      38.7,     70.64,      5.58,     14.62
  24,      24.4,      7.22,      40.8,     69.30,      7.71,     14.69
  25,      26.3,      7.79,      18.7,     72.25,      6.88,     14.71
  26,      26.2,      7.59,      40.7,     72.01,      8.55,     14.70
  27,      27.2,      7.48,      81.8,     74.55,     13.73,     14.64
  28,      26.6,      7.36,      69.1,     73.88,     15.84,     14.54
  29,      27.4,      8.76,       1.2,     71.39,     10.42,     14.41
  30,      29.2,      9.74,      54.5,     71.92,     12.22,     14.24
  31,      28.2,      8.41,       9.1,     72.47,      8.86,     14.05
  32,      28.7,     10.94,       4.6,     66.09,      6.21,     13.83
  33,      26.5,      7.71,      20.7,     71.54,      6.10,     13.60
  34,      26.5,      7.52,      10.9,     71.74,      5.05,     13.35
  35,      23.9,      5.14,     194.9,     77.24,     22.78,     13.09
  36,      24.4,      3.66,      51.2,     84.24,     19.93,     12.83
  37,      23.4,      4.95,      29.5,     77.73,     15.90,     12.56
  38,      21.5,      2.74,      84.7,     85.74,     18.81,     12.28
  39,      23.0,      2.75,      14.2,     87.12,     13.64,     12.01
  40,      16.2,      3.92,      14.9,     72.37,     10.36,     11.73
  41,      19.5,      2.75,       2.7,     83.86,      7.01,     11.46
  42,      17.7,      4.26,      28.0,     72.28,      7.35,     11.19
  43,      15.6,      4.01,       0.7,     70.96,      4.85,     10.93
  44,      12.2,      2.37,      31.8,     78.12,      6.33,     10.68
  45,      12.7,      2.18,       0.5,     80.20,      4.17,     10.44
  46,      12.8,      2.46,      22.7,     77.52,      4.98,     10.22
  47,      12.6,      1.92,      11.5,     81.75,      4.39,     10.03
  48,      11.2,      2.02,      11.0,     79.68,      3.95,      9.86
  49,      11.7,      1.61,       4.5,     83.43,      3.02,      9.74
  50,       9.4,      2.09,       0.0,     76.78,      1.96,      9.65
  51,       8.7,      1.38,      14.8,     84.02,      2.76,      9.61
  52,       8.0,      2.25,       9.8,     72.67,      2.78,      9.62
