Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
   1,       0.3,      1.33,       2.1,     73.16,      0.21,      9.69
   2,       0.0,      1.23,       0.8,     76.14,      0.22,      9.79
   3,       6.6,      1.08,      31.4,     85.71,      3.29,      9.94
   4,       6.4,      1.25,      38.1,     82.59,      5.94,     10.12
   5,       1.0,      1.19,      18.6,     77.94,      5.72,     10.33
   6,       1.4,      1.00,      68.0,     81.48,     10.52,     10.56
   7,       1.0,      1.26,       0.7,     76.43,      6.91,     10.81
   8,       5.4,      1.44,      13.5,     79.75,      5.84,     11.07
   9,       4.1,      1.65,      34.7,     74.46,      7.27,     11.34
  10,       7.2,      2.17,       4.4,     73.91,      5.17,     11.61
  11,       9.6,      1.41,      29.9,     85.54,      6.35,     11.89
  12,      11.7,      2.68,       1.2,     76.35,      4.25,     12.17
  13,      10.9,      1.69,      76.2,     83.17,     10.39,     12.45
  14,      16.5,      2.76,       2.2,     83.82,      6.97,     12.72
  15,      13.3,      2.73,       8.5,     77.02,      5.39,     13.00
  16,      13.7,      3.08,       2.9,     75.21,      3.79,     13.26
  17,      15.1,      3.28,       9.4,     75.73,      3.40,     13.51
  18,      20.0,      4.14,       0.0,     78.78,      2.21,     13.76
  19,      16.0,      3.36,      22.8,     75.02,      3.72,     13.98
  20,      17.9,      2.44,      64.8,     85.46,      8.90,     14.18
  21,      19.5,      2.52,      12.7,     86.03,      7.06,     14.36
  22,      22.9,      3.79,      14.8,     83.63,      6.07,     14.51
  23,      24.3,      5.69,       9.0,     76.35,      4.85,     14.62
  24,      24.8,      4.56,      40.8,     81.72,      7.23,     14.69
  25,      26.5,      6.86,       7.8,     75.50,      5.48,     14.71
  26,      27.4,      8.00,       3.5,     72.39,      3.91,     14.70
  27,      25.9,     10.08,       0.0,     62.44,      2.54,     14.64
  28,      26.7,      5.76,      13.2,     78.96,      2.97,     14.54
  29,      29.2,      9.65,      22.6,     70.79,      4.19,     14.41
  30,      29.5,     11.29,      52.7,     67.30,      7.99,     14.24
  31,      26.0,      5.46,      18.1,     78.65,      7.01,     14.05
  32,      28.0,      7.25,      18.7,     76.30,      6.43,     13.83
  33,      26.5,      5.10,      20.5,     80.63,      6.23,     13.60
  34,      25.8,      5.35,       4.5,     79.15,      4.50,     13.35
  35,      26.1,      6.03,       0.0,     77.68,      2.93,     13.09
  36,      25.1,      8.32,       5.3,     66.85,      2.44,     12.83
  37,      22.8,      6.99,       9.1,     68.58,      2.49,     12.56
  38,      23.5,      6.76,       0.0,     70.49,      1.62,     12.28
  39,      24.5,      4.68,     245.7,     81.84,     25.62,     12.01
  40,      17.4,      3.31,      92.7,     77.58,     25.93,     11.73
  41,      19.8,      4.87,       7.7,     74.22,     17.62,     11.46
  42,      16.1,      3.31,       1.5,     77.06,     11.60,     11.19
  43,      18.4,      3.20,      38.3,     79.28,     11.37,     10.93
  44,      13.4,      2.97,       9.3,     74.36,      8.32,     10.68
  45,      11.3,      2.74,       2.8,     73.48,      5.69,     10.44
  46,      12.3,      2.28,       2.7,     79.49,      3.97,     10.22
  47,      12.0,      2.45,       0.0,     76.59,      2.58,     10.03
  48,      10.0,      1.83,       7.1,     78.00,      2.39,      9.86
  49,       2.4,      2.10,       0.4,     64.31,      1.60,      9.74
  50,       2.5,      1.09,      29.3,     79.65,      3.97,      9.65
  51,       1.8,      1.21,       4.3,     78.59,      3.01,      9.61
  52,       0.9,      1.12,      12.8,     79.24,      3.24,      9.62
