Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
   1,      -8.8,      0.39,       0.1,     87.74,      0.01,      8.59
   2,      -9.6,      0.22,       0.1,     91.82,      0.01,      8.76
   3,     -19.2,      0.26,       0.0,     83.08,      0.01,      8.98
   4,     -14.5,      0.26,       0.0,     87.29,      0.01,      9.25
   5,     -15.5,      0.24,       1.0,     85.86,      0.10,      9.55
   6,     -14.9,      0.28,       1.4,     84.84,      0.21,      9.89
   7,     -15.5,      0.30,       3.6,     84.39,      0.50,     10.25
   8,     -15.6,      0.26,       0.0,     85.51,      0.32,     10.63
   9,      -8.6,      0.42,       2.0,     85.78,      0.41,     11.02
  10,     -13.5,      0.40,       1.4,     81.91,      0.40,     11.41
  11,      -2.7,      0.60,       1.8,     85.72,      0.45,     11.81
  12,      -3.7,      0.55,       2.1,     86.34,      0.50,     12.21
  13,      -1.8,      0.94,       0.7,     79.39,      0.40,     12.61
  14,       1.0,      1.58,      38.9,     74.47,      4.15,     13.00
  15,       1.1,      1.59,      22.6,     73.14,      4.95,     13.39
  16,       9.8,      4.07,       1.2,     59.14,      3.34,     13.77
  17,       4.2,      2.58,      42.0,     66.49,      6.37,     14.14
  18,       6.3,      3.23,       4.4,     59.89,      4.58,     14.49
  19,       8.0,      3.41,      18.6,     62.13,      4.83,     14.82
  20,      11.3,      4.60,      10.7,     59.64,      4.21,     15.13
  21,      12.1,      4.08,       2.0,     65.97,      2.94,     15.39
  22,      14.0,      4.97,      23.5,     62.67,      4.26,     15.61
  23,      14.6,      3.55,      77.4,     75.29,     10.51,     15.78
  24,      13.3,      3.16,      38.0,     76.30,     10.63,     15.89
  25,      18.7,      7.04,       1.0,     59.10,      7.01,     15.93
  26,      19.9,      6.61,      26.1,     65.81,      7.17,     15.90
  27,      20.8,      7.47,      10.6,     63.64,      5.72,     15.82
  28,      19.4,      6.54,      24.5,     64.47,      6.16,     15.67
  29,      21.2,      7.15,      10.9,     65.51,      5.09,     15.46
  30,      21.9,      9.17,       0.8,     58.19,      3.39,     15.21
  31,      22.4,      9.02,      33.5,     59.37,      5.56,     14.92
  32,      20.4,      9.16,       3.3,     54.21,      3.94,     14.60
  33,      22.2,      9.62,      15.9,     58.58,      4.15,     14.26
  34,      20.7,      9.00,       0.8,     58.16,      2.78,     13.90
  35,      21.3,     10.80,       9.9,     50.98,      2.80,     13.53
  36,      13.8,      4.16,      24.2,     68.37,      4.24,     13.15
  37,      14.2,      3.88,      45.9,     71.49,      7.34,     12.76
  38,      17.8,      7.14,       0.5,     59.64,      4.82,     12.37
  39,      15.8,      4.87,      11.3,     66.92,      4.26,     11.98
  40,       9.9,      3.38,      23.0,     66.42,      5.07,     11.58
  41,      10.7,      2.41,      95.7,     75.60,     12.87,     11.19
  42,       7.5,      2.78,       0.1,     66.86,      8.37,     10.81
  43,       4.8,      1.93,      28.0,     72.14,      8.24,     10.43
  44,       6.9,      3.10,       0.1,     61.31,      5.37,     10.06
  45,       4.5,      1.48,      34.3,     82.19,      6.92,      9.72
  46,      -2.1,      0.79,       2.8,     81.88,      4.78,      9.40
  47,      -6.9,      0.69,       0.2,     78.45,      3.13,      9.11
  48,      -5.5,      0.39,       0.1,     89.46,      2.04,      8.86
  49,     -10.6,      0.44,       3.7,     83.16,      1.69,      8.67
  50,     -13.4,      0.29,      24.9,     85.88,      3.59,      8.54
  51,     -18.3,      0.25,       8.6,     84.18,      3.19,      8.48
  52,     -12.0,      0.25,       6.2,     88.98,      2.69,      8.49
