Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
   1,      -5.6,      0.56,       0.1,     85.21,      0.01,      8.59
   2,      -7.8,      0.56,       3.4,     83.33,      0.35,      8.76
   3,     -15.9,      0.28,       0.4,     84.92,      0.26,      8.98
   4,      -7.2,      0.32,       7.8,     90.22,      0.95,      9.25
   5,      -5.9,      0.22,       1.0,     93.57,      0.71,      9.55
   6,     -11.8,      0.33,       0.0,     86.27,      0.46,      9.89
   7,      -8.3,      0.36,       1.0,     88.01,      0.41,     10.25
   8,      -5.2,      0.46,       9.3,     87.39,      1.19,     10.63
   9,      -5.3,      0.37,       9.8,     89.54,      1.76,     11.02
  10,      -5.6,      0.50,       2.3,     86.99,      1.37,     11.41
  11,       5.4,      2.31,       2.0,     68.21,      1.09,     11.81
  12,      10.0,      3.00,      14.1,     69.47,      2.12,     12.21
  13,       4.1,      1.77,      27.4,     78.04,      4.12,     12.61
  14,       9.1,      4.06,       1.1,     57.24,      2.79,     13.00
  15,       5.0,      3.67,       4.8,     50.14,      2.30,     13.39
  16,       6.1,      2.76,      60.5,     63.87,      7.54,     13.77
  17,       9.1,      4.29,       3.6,     56.13,      5.26,     14.14
  18,      13.5,      4.47,      13.4,     66.18,      4.76,     14.49
  19,      12.6,      4.62,       6.1,     61.88,      3.70,     14.82
  20,      17.4,      8.71,      13.2,     46.76,      3.72,     15.13
  21,      15.4,      5.33,      17.1,     63.79,      4.13,     15.39
  22,      14.3,      4.75,      22.0,     65.04,      4.89,     15.61
  23,      21.5,      9.13,       1.2,     55.98,      3.30,     15.78
  24,      17.9,      6.15,      25.5,     64.13,      4.69,     15.89
  25,      18.0,      5.37,      79.1,     69.67,     10.96,     15.93
  26,      21.2,      9.10,       3.3,     56.96,      7.46,     15.90
  27,      24.9,      9.66,      40.6,     65.38,      8.90,     15.82
  28,      24.3,     11.57,      15.3,     53.19,      7.32,     15.67
  29,      25.2,     10.80,       3.6,     61.23,      5.12,     15.46
  30,      23.7,     10.40,      43.3,     58.52,      7.65,     15.21
  31,      24.3,     11.68,      32.1,     54.58,      8.18,     14.92
  32,      20.4,      9.48,       9.6,     53.96,      6.28,     14.60
  33,      18.4,      7.92,      11.8,     55.88,      5.26,     14.26
  34,      22.7,     12.77,       0.9,     45.81,      3.51,     13.90
  35,      23.1,     13.42,       0.1,     43.80,      2.29,     13.53
  36,      19.3,     10.39,       5.3,     48.14,      2.01,     13.15
  37,      17.0,     10.36,       0.0,     37.39,      1.31,     12.76
  38,      11.1,      5.52,       5.3,     50.38,      1.38,     12.37
  39,      12.7,      7.92,       0.0,     42.47,      0.90,     11.98
  40,      11.2,      6.55,      10.1,     50.08,      1.59,     11.58
  41,       4.8,      3.39,       7.6,     52.11,      1.80,     11.19
  42,       9.7,      2.84,      36.5,     73.14,      4.82,     10.81
  43,       6.9,      2.47,       4.2,     67.41,      3.56,     10.43
  44,       2.2,      2.07,       7.4,     66.30,      3.05,     10.06
  45,       2.7,      1.32,       8.5,     78.56,      2.83,      9.72
  46,      -0.9,      1.60,       0.2,     67.36,      1.86,      9.40
  47,       1.1,      1.80,       3.8,     69.48,      1.59,      9.11
  48,      -5.5,      0.93,       0.4,     73.27,      1.08,      8.86
  49,      -4.2,      0.96,       0.5,     76.59,      0.75,      8.67
  50,      -8.7,      0.34,      10.0,     88.21,      1.49,      8.54
  51,      -9.8,      0.25,       1.2,     91.09,      1.09,      8.48
  52,     -12.8,      0.29,       1.9,     87.43,      0.90,      8.49
